City,State,Housing type,Project,Units,Sq. ft. per unit,Population density,Neighborhood median income,Total duration (years),Total duration low,Total duration high,Total duration 95% CI,Permitting duration (years),Permitting low,Permitting high,Permitting 95% CI,Rank (longest first)
Austin,TX,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"4,000/sq. mi.","$80,000",1.47,1.4,1.53,1.4–1.53,0.32,0.29,0.34,0.29–0.34,28
Reno,NV,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"4,000/sq. mi.","$80,000",1.43,1.22,1.64,1.22–1.64,0.39,0.25,0.53,0.25–0.53,29
Tampa,FL,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"4,000/sq. mi.","$80,000",1.38,1.17,1.59,1.17–1.59,0.37,0.28,0.45,0.28–0.45,30
Columbus,OH,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"4,000/sq. mi.","$80,000",1.34,1.21,1.48,1.21–1.48,0.1,0.08,0.13,0.08–0.13,31
Nashville,TN,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"4,000/sq. mi.","$80,000",1.29,1.02,1.56,1.02–1.56,0.15,0.09,0.21,0.09–0.21,32
Colorado Springs,CO,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"4,000/sq. mi.","$80,000",1.28,1.11,1.45,1.11–1.45,0.2,0.14,0.26,0.14–0.26,33
San Antonio,TX,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"4,000/sq. mi.","$80,000",1.25,1.02,1.48,1.02–1.48,0.14,0.09,0.18,0.09–0.18,34
Baton Rouge,LA,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"4,000/sq. mi.","$80,000",1.22,1.05,1.39,1.05–1.39,0.35,0.26,0.44,0.26–0.44,35
Denver,CO,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"4,000/sq. mi.","$80,000",1.2,1.08,1.32,1.08–1.32,0.22,0.13,0.3,0.13–0.3,36
Fort Worth,TX,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"4,000/sq. mi.","$80,000",1.15,1.05,1.26,1.05–1.26,0.15,0.12,0.18,0.12–0.18,37
New Orleans,LA,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"4,000/sq. mi.","$80,000",1.14,1,1.27,1–1.27,0.18,0.14,0.21,0.14–0.21,38
Orlando,FL,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"4,000/sq. mi.","$80,000",1.08,0.98,1.19,0.98–1.19,0.21,0.14,0.28,0.14–0.28,39
Oklahoma City,OK,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"4,000/sq. mi.","$80,000",0.83,0.74,0.91,0.74–0.91,0.06,0.03,0.08,0.03–0.08,40
El Paso,TX,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"4,000/sq. mi.","$80,000",0.82,0.66,0.97,0.66–0.97,0.15,0.06,0.23,0.06–0.23,41
Wilmington,NC,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"4,000/sq. mi.","$80,000",0.59,0.56,0.61,0.56–0.61,0,0,0,0–0,42
San Francisco,CA,Duplex/triplex,"2 units, 1,600 sq. ft. each",2,1600,"4,000/sq. mi.","$80,000",5.28,4.41,6.15,4.41–6.15,2.18,1.66,2.7,1.66–2.7,1
Jersey City,NJ,Duplex/triplex,"2 units, 1,600 sq. ft. each",2,1600,"4,000/sq. mi.","$80,000",3.83,2.24,5.41,2.24–5.41,0.35,0.14,0.55,0.14–0.55,2
Miami,FL,Duplex/triplex,"2 units, 1,600 sq. ft. each",2,1600,"4,000/sq. mi.","$80,000",3.66,3.09,4.23,3.09–4.23,1.39,1.14,1.64,1.14–1.64,3
Tulsa,OK,Duplex/triplex,"2 units, 1,600 sq. ft. each",2,1600,"4,000/sq. mi.","$80,000",3.15,2.53,3.78,2.53–3.78,0.82,0.66,0.98,0.66–0.98,4
Oakland,CA,Duplex/triplex,"2 units, 1,600 sq. ft. each",2,1600,"4,000/sq. mi.","$80,000",3.13,2.61,3.66,2.61–3.66,0.51,0.4,0.63,0.4–0.63,5
Philadelphia,PA,Duplex/triplex,"2 units, 1,600 sq. ft. each",2,1600,"4,000/sq. mi.","$80,000",3.01,2.75,3.26,2.75–3.26,0.22,0.19,0.25,0.19–0.25,6
Washington,DC,Duplex/triplex,"2 units, 1,600 sq. ft. each",2,1600,"4,000/sq. mi.","$80,000",2.98,2.44,3.52,2.44–3.52,0.87,0.62,1.11,0.62–1.11,7
New York,NY,Duplex/triplex,"2 units, 1,600 sq. ft. each",2,1600,"4,000/sq. mi.","$80,000",2.97,2.89,3.06,2.89–3.06,0.8,0.76,0.84,0.76–0.84,8
Phoenix,AZ,Duplex/triplex,"2 units, 1,600 sq. ft. each",2,1600,"4,000/sq. mi.","$80,000",2.93,2.74,3.13,2.74–3.13,1.06,0.93,1.18,0.93–1.18,9
Los Angeles,CA,Duplex/triplex,"2 units, 1,600 sq. ft. each",2,1600,"4,000/sq. mi.","$80,000",2.53,2.39,2.68,2.39–2.68,0.91,0.84,0.99,0.84–0.99,10
Boston,MA,Duplex/triplex,"2 units, 1,600 sq. ft. each",2,1600,"4,000/sq. mi.","$80,000",2.53,2.29,2.77,2.29–2.77,1.12,0.93,1.3,0.93–1.3,11
Honolulu,HI,Duplex/triplex,"2 units, 1,600 sq. ft. each",2,1600,"4,000/sq. mi.","$80,000",2.51,2.32,2.69,2.32–2.69,0.93,0.84,1.03,0.84–1.03,12
Seattle,WA,Duplex/triplex,"2 units, 1,600 sq. ft. each",2,1600,"4,000/sq. mi.","$80,000",2.48,2.37,2.59,2.37–2.59,0.75,0.7,0.79,0.7–0.79,13
Cleveland,OH,Duplex/triplex,"2 units, 1,600 sq. ft. each",2,1600,"4,000/sq. mi.","$80,000",2.47,1.72,3.22,1.72–3.22,0.74,0.48,1,0.48–1,14
Fort Lauderdale,FL,Duplex/triplex,"2 units, 1,600 sq. ft. each",2,1600,"4,000/sq. mi.","$80,000",2.33,1.95,2.71,1.95–2.71,0.84,0.63,1.04,0.63–1.04,15
Boise,ID,Duplex/triplex,"2 units, 1,600 sq. ft. each",2,1600,"4,000/sq. mi.","$80,000",2.22,1.18,3.25,1.18–3.25,0.43,0.19,0.67,0.19–0.67,16
San Diego,CA,Duplex/triplex,"2 units, 1,600 sq. ft. each",2,1600,"4,000/sq. mi.","$80,000",2.06,1.85,2.27,1.85–2.27,0.61,0.51,0.72,0.51–0.72,17
Jacksonville,FL,Duplex/triplex,"2 units, 1,600 sq. ft. each",2,1600,"4,000/sq. mi.","$80,000",1.93,1.7,2.16,1.7–2.16,0.48,0.38,0.59,0.38–0.59,18
Louisville,KY,Duplex/triplex,"2 units, 1,600 sq. ft. each",2,1600,"4,000/sq. mi.","$80,000",1.91,1.34,2.48,1.34–2.48,0.22,0.11,0.34,0.11–0.34,19
Houston,TX,Duplex/triplex,"2 units, 1,600 sq. ft. each",2,1600,"4,000/sq. mi.","$80,000",1.9,1.64,2.15,1.64–2.15,0.28,0.21,0.36,0.21–0.36,20
Albuquerque,NM,Duplex/triplex,"2 units, 1,600 sq. ft. each",2,1600,"4,000/sq. mi.","$80,000",1.85,1.23,2.47,1.23–2.47,0.23,0.11,0.35,0.11–0.35,21
Providence,RI,Duplex/triplex,"2 units, 1,600 sq. ft. each",2,1600,"4,000/sq. mi.","$80,000",1.82,1.37,2.28,1.37–2.28,0.1,0.05,0.14,0.05–0.14,22
Sacramento,CA,Duplex/triplex,"2 units, 1,600 sq. ft. each",2,1600,"4,000/sq. mi.","$80,000",1.7,1.47,1.93,1.47–1.93,0.37,0.25,0.48,0.25–0.48,23
Boulder,CO,Duplex/triplex,"2 units, 1,600 sq. ft. each",2,1600,"4,000/sq. mi.","$80,000",1.69,1.44,1.93,1.44–1.93,0.68,0.44,0.92,0.44–0.92,24
Portland,OR,Duplex/triplex,"2 units, 1,600 sq. ft. each",2,1600,"4,000/sq. mi.","$80,000",1.65,1.56,1.74,1.56–1.74,0.59,0.54,0.65,0.54–0.65,25
Reno,NV,Duplex/triplex,"2 units, 1,600 sq. ft. each",2,1600,"4,000/sq. mi.","$80,000",1.59,1.4,1.77,1.4–1.77,0.4,0.27,0.54,0.27–0.54,26
Atlanta,GA,Duplex/triplex,"2 units, 1,600 sq. ft. each",2,1600,"4,000/sq. mi.","$80,000",1.55,1.38,1.71,1.38–1.71,0.4,0.29,0.5,0.29–0.5,27
Durham,NC,Duplex/triplex,"2 units, 1,600 sq. ft. each",2,1600,"4,000/sq. mi.","$80,000",1.52,1.16,1.88,1.16–1.88,0.23,0.17,0.29,0.17–0.29,28
Tampa,FL,Duplex/triplex,"2 units, 1,600 sq. ft. each",2,1600,"4,000/sq. mi.","$80,000",1.5,1.29,1.71,1.29–1.71,0.39,0.31,0.47,0.31–0.47,29
Austin,TX,Duplex/triplex,"2 units, 1,600 sq. ft. each",2,1600,"4,000/sq. mi.","$80,000",1.49,1.43,1.55,1.43–1.55,0.33,0.31,0.36,0.31–0.36,30
Columbus,OH,Duplex/triplex,"2 units, 1,600 sq. ft. each",2,1600,"4,000/sq. mi.","$80,000",1.42,1.28,1.55,1.28–1.55,0.11,0.08,0.13,0.08–0.13,31
Nashville,TN,Duplex/triplex,"2 units, 1,600 sq. ft. each",2,1600,"4,000/sq. mi.","$80,000",1.35,1.07,1.64,1.07–1.64,0.15,0.09,0.22,0.09–0.22,32
