City,State,Housing type,Project,Units,Sq. ft. per unit,Population density,Neighborhood median income,Total duration (years),Total duration low,Total duration high,Total duration 95% CI,Permitting duration (years),Permitting low,Permitting high,Permitting 95% CI,Rank (longest first)
San Diego,CA,Multifamily,"10 units, 700 sq. ft. each",10,700,"4,000/sq. mi.","$80,000",2.46,2.28,2.64,2.28–2.64,0.7,0.63,0.77,0.63–0.77,15
Tulsa,OK,Multifamily,"10 units, 700 sq. ft. each",10,700,"4,000/sq. mi.","$80,000",2.44,2.06,2.81,2.06–2.81,0.8,0.57,1.03,0.57–1.03,16
Honolulu,HI,Multifamily,"10 units, 700 sq. ft. each",10,700,"4,000/sq. mi.","$80,000",2.42,2.15,2.68,2.15–2.68,0.95,0.82,1.08,0.82–1.08,17
Austin,TX,Multifamily,"10 units, 700 sq. ft. each",10,700,"4,000/sq. mi.","$80,000",2.32,2.23,2.41,2.23–2.41,0.69,0.64,0.74,0.64–0.74,18
Denver,CO,Multifamily,"10 units, 700 sq. ft. each",10,700,"4,000/sq. mi.","$80,000",2.32,2.17,2.47,2.17–2.47,0.55,0.48,0.62,0.48–0.62,19
Phoenix,AZ,Multifamily,"10 units, 700 sq. ft. each",10,700,"4,000/sq. mi.","$80,000",2.28,2.08,2.48,2.08–2.48,0.86,0.73,0.98,0.73–0.98,20
Portland,OR,Multifamily,"10 units, 700 sq. ft. each",10,700,"4,000/sq. mi.","$80,000",2.17,2.08,2.26,2.08–2.26,0.83,0.77,0.89,0.77–0.89,21
Charleston,SC,Multifamily,"10 units, 700 sq. ft. each",10,700,"4,000/sq. mi.","$80,000",2.16,1.8,2.52,1.8–2.52,0.39,0.16,0.61,0.16–0.61,22
Boulder,CO,Multifamily,"10 units, 700 sq. ft. each",10,700,"4,000/sq. mi.","$80,000",2.15,1.84,2.45,1.84–2.45,0.57,0.43,0.71,0.43–0.71,23
Spokane,WA,Multifamily,"10 units, 700 sq. ft. each",10,700,"4,000/sq. mi.","$80,000",2.09,1.59,2.6,1.59–2.6,0.28,0.2,0.36,0.2–0.36,24
Boise,ID,Multifamily,"10 units, 700 sq. ft. each",10,700,"4,000/sq. mi.","$80,000",2.06,1.76,2.37,1.76–2.37,0.66,0.46,0.85,0.46–0.85,25
Nashville,TN,Multifamily,"10 units, 700 sq. ft. each",10,700,"4,000/sq. mi.","$80,000",1.93,1.73,2.14,1.73–2.14,0.4,0.3,0.5,0.3–0.5,26
Sioux Falls,SD,Multifamily,"10 units, 700 sq. ft. each",10,700,"4,000/sq. mi.","$80,000",1.93,1.73,2.13,1.73–2.13,0.24,0.2,0.29,0.2–0.29,27
St. Paul,MN,Multifamily,"10 units, 700 sq. ft. each",10,700,"4,000/sq. mi.","$80,000",1.86,1.07,2.66,1.07–2.66,0.28,0.13,0.42,0.13–0.42,28
Tampa,FL,Multifamily,"10 units, 700 sq. ft. each",10,700,"4,000/sq. mi.","$80,000",1.86,1.53,2.2,1.53–2.2,0.52,0.42,0.63,0.42–0.63,29
Atlanta,GA,Multifamily,"10 units, 700 sq. ft. each",10,700,"4,000/sq. mi.","$80,000",1.86,1.67,2.05,1.67–2.05,0.83,0.66,1,0.66–1,30
Kansas City,MO,Multifamily,"10 units, 700 sq. ft. each",10,700,"4,000/sq. mi.","$80,000",1.86,1.67,2.04,1.67–2.04,0.19,0.14,0.24,0.14–0.24,31
Cleveland,OH,Multifamily,"10 units, 700 sq. ft. each",10,700,"4,000/sq. mi.","$80,000",1.8,1.56,2.05,1.56–2.05,0.43,0.31,0.55,0.31–0.55,32
Orlando,FL,Multifamily,"10 units, 700 sq. ft. each",10,700,"4,000/sq. mi.","$80,000",1.76,1.6,1.92,1.6–1.92,0.44,0.36,0.52,0.36–0.52,33
Anaheim,CA,Multifamily,"10 units, 700 sq. ft. each",10,700,"4,000/sq. mi.","$80,000",1.76,1.57,1.95,1.57–1.95,1.12,0.91,1.33,0.91–1.33,34
Fort Worth,TX,Multifamily,"10 units, 700 sq. ft. each",10,700,"4,000/sq. mi.","$80,000",1.68,1.6,1.75,1.6–1.75,0.23,0.2,0.26,0.2–0.26,35
Jacksonville,FL,Multifamily,"10 units, 700 sq. ft. each",10,700,"4,000/sq. mi.","$80,000",1.66,1.53,1.8,1.53–1.8,0.38,0.32,0.43,0.32–0.43,36
Colorado Springs,CO,Multifamily,"10 units, 700 sq. ft. each",10,700,"4,000/sq. mi.","$80,000",1.62,1.37,1.86,1.37–1.86,0.4,0.29,0.5,0.29–0.5,37
Columbus,OH,Multifamily,"10 units, 700 sq. ft. each",10,700,"4,000/sq. mi.","$80,000",1.61,1.53,1.7,1.53–1.7,0.3,0.28,0.33,0.28–0.33,38
Louisville,KY,Multifamily,"10 units, 700 sq. ft. each",10,700,"4,000/sq. mi.","$80,000",1.58,1.42,1.75,1.42–1.75,0.36,0.3,0.41,0.3–0.41,39
Indianapolis,IN,Multifamily,"10 units, 700 sq. ft. each",10,700,"4,000/sq. mi.","$80,000",1.56,1.41,1.71,1.41–1.71,0.51,0.41,0.61,0.41–0.61,40
Grand Rapids,MI,Multifamily,"10 units, 700 sq. ft. each",10,700,"4,000/sq. mi.","$80,000",1.49,1.32,1.67,1.32–1.67,0.27,0.2,0.35,0.2–0.35,41
Reno,NV,Multifamily,"10 units, 700 sq. ft. each",10,700,"4,000/sq. mi.","$80,000",1.4,1.35,1.46,1.35–1.46,0.11,0.09,0.13,0.09–0.13,42
Raleigh,NC,Multifamily,"10 units, 700 sq. ft. each",10,700,"4,000/sq. mi.","$80,000",1.31,1.16,1.46,1.16–1.46,0.22,0.17,0.27,0.17–0.27,43
Miami,FL,Multifamily,"10 units, 900 sq. ft. each",10,900,"4,000/sq. mi.","$80,000",5.36,4.42,6.31,4.42–6.31,1.87,1.34,2.41,1.34–2.41,1
Oakland,CA,Multifamily,"10 units, 900 sq. ft. each",10,900,"4,000/sq. mi.","$80,000",4.8,4.13,5.47,4.13–5.47,1.05,0.83,1.28,0.83–1.28,2
San Francisco,CA,Multifamily,"10 units, 900 sq. ft. each",10,900,"4,000/sq. mi.","$80,000",4.71,4.24,5.17,4.24–5.17,1.59,1.29,1.89,1.29–1.89,3
New York,NY,Multifamily,"10 units, 900 sq. ft. each",10,900,"4,000/sq. mi.","$80,000",4.31,4.13,4.48,4.13–4.48,1.34,1.23,1.46,1.23–1.46,4
Los Angeles,CA,Multifamily,"10 units, 900 sq. ft. each",10,900,"4,000/sq. mi.","$80,000",3.98,3.82,4.14,3.82–4.14,1.52,1.42,1.62,1.42–1.62,5
Boston,MA,Multifamily,"10 units, 900 sq. ft. each",10,900,"4,000/sq. mi.","$80,000",3.56,3.26,3.85,3.26–3.85,1.68,1.46,1.9,1.46–1.9,6
Baton Rouge,LA,Multifamily,"10 units, 900 sq. ft. each",10,900,"4,000/sq. mi.","$80,000",3.23,2.33,4.14,2.33–4.14,0.74,0.5,0.98,0.5–0.98,7
Seattle,WA,Multifamily,"10 units, 900 sq. ft. each",10,900,"4,000/sq. mi.","$80,000",3.09,2.92,3.27,2.92–3.27,0.98,0.9,1.06,0.9–1.06,8
Philadelphia,PA,Multifamily,"10 units, 900 sq. ft. each",10,900,"4,000/sq. mi.","$80,000",2.79,2.49,3.08,2.49–3.08,0.29,0.23,0.34,0.23–0.34,9
Durham,NC,Multifamily,"10 units, 900 sq. ft. each",10,900,"4,000/sq. mi.","$80,000",2.77,2.45,3.1,2.45–3.1,0.3,0.25,0.35,0.25–0.35,10
Washington,DC,Multifamily,"10 units, 900 sq. ft. each",10,900,"4,000/sq. mi.","$80,000",2.75,2.4,3.1,2.4–3.1,0.75,0.59,0.92,0.59–0.92,11
Houston,TX,Multifamily,"10 units, 900 sq. ft. each",10,900,"4,000/sq. mi.","$80,000",2.73,2.65,2.81,2.65–2.81,0.68,0.63,0.73,0.63–0.73,12
Sacramento,CA,Multifamily,"10 units, 900 sq. ft. each",10,900,"4,000/sq. mi.","$80,000",2.73,2.44,3.02,2.44–3.02,0.95,0.78,1.12,0.78–1.12,13
Jersey City,NJ,Multifamily,"10 units, 900 sq. ft. each",10,900,"4,000/sq. mi.","$80,000",2.72,2.05,3.39,2.05–3.39,0.3,0.06,0.55,0.06–0.55,14
Honolulu,HI,Multifamily,"10 units, 900 sq. ft. each",10,900,"4,000/sq. mi.","$80,000",2.48,2.22,2.73,2.22–2.73,0.99,0.86,1.12,0.86–1.12,15
Tulsa,OK,Multifamily,"10 units, 900 sq. ft. each",10,900,"4,000/sq. mi.","$80,000",2.46,2.08,2.84,2.08–2.84,0.83,0.59,1.07,0.59–1.07,16
San Diego,CA,Multifamily,"10 units, 900 sq. ft. each",10,900,"4,000/sq. mi.","$80,000",2.46,2.28,2.64,2.28–2.64,0.71,0.64,0.78,0.64–0.78,17
Austin,TX,Multifamily,"10 units, 900 sq. ft. each",10,900,"4,000/sq. mi.","$80,000",2.38,2.3,2.46,2.3–2.46,0.7,0.65,0.74,0.65–0.74,18
Phoenix,AZ,Multifamily,"10 units, 900 sq. ft. each",10,900,"4,000/sq. mi.","$80,000",2.33,2.15,2.51,2.15–2.51,0.84,0.72,0.95,0.72–0.95,19
Denver,CO,Multifamily,"10 units, 900 sq. ft. each",10,900,"4,000/sq. mi.","$80,000",2.3,2.16,2.45,2.16–2.45,0.54,0.48,0.61,0.48–0.61,20
Portland,OR,Multifamily,"10 units, 900 sq. ft. each",10,900,"4,000/sq. mi.","$80,000",2.29,2.19,2.39,2.19–2.39,0.85,0.79,0.91,0.79–0.91,21
Boulder,CO,Multifamily,"10 units, 900 sq. ft. each",10,900,"4,000/sq. mi.","$80,000",2.27,1.99,2.54,1.99–2.54,0.61,0.48,0.73,0.48–0.73,22
Spokane,WA,Multifamily,"10 units, 900 sq. ft. each",10,900,"4,000/sq. mi.","$80,000",2.23,1.66,2.79,1.66–2.79,0.28,0.2,0.37,0.2–0.37,23
Nashville,TN,Multifamily,"10 units, 900 sq. ft. each",10,900,"4,000/sq. mi.","$80,000",2.08,1.86,2.31,1.86–2.31,0.43,0.32,0.54,0.32–0.54,24
Boise,ID,Multifamily,"10 units, 900 sq. ft. each",10,900,"4,000/sq. mi.","$80,000",2.08,1.78,2.38,1.78–2.38,0.64,0.46,0.83,0.46–0.83,25
Atlanta,GA,Multifamily,"10 units, 900 sq. ft. each",10,900,"4,000/sq. mi.","$80,000",1.92,1.72,2.12,1.72–2.12,0.87,0.69,1.06,0.69–1.06,26
St. Paul,MN,Multifamily,"10 units, 900 sq. ft. each",10,900,"4,000/sq. mi.","$80,000",1.92,1.1,2.75,1.1–2.75,0.29,0.14,0.44,0.14–0.44,27
Kansas City,MO,Multifamily,"10 units, 900 sq. ft. each",10,900,"4,000/sq. mi.","$80,000",1.9,1.74,2.07,1.74–2.07,0.2,0.15,0.25,0.15–0.25,28
Cleveland,OH,Multifamily,"10 units, 900 sq. ft. each",10,900,"4,000/sq. mi.","$80,000",1.9,1.64,2.16,1.64–2.16,0.47,0.35,0.6,0.35–0.6,29
Sioux Falls,SD,Multifamily,"10 units, 900 sq. ft. each",10,900,"4,000/sq. mi.","$80,000",1.88,1.68,2.07,1.68–2.07,0.25,0.2,0.3,0.2–0.3,30
Tampa,FL,Multifamily,"10 units, 900 sq. ft. each",10,900,"4,000/sq. mi.","$80,000",1.86,1.56,2.17,1.56–2.17,0.51,0.41,0.61,0.41–0.61,31
Orlando,FL,Multifamily,"10 units, 900 sq. ft. each",10,900,"4,000/sq. mi.","$80,000",1.85,1.68,2.01,1.68–2.01,0.49,0.42,0.57,0.42–0.57,32
Colorado Springs,CO,Multifamily,"10 units, 900 sq. ft. each",10,900,"4,000/sq. mi.","$80,000",1.84,1.65,2.04,1.65–2.04,0.48,0.39,0.57,0.39–0.57,33
Anaheim,CA,Multifamily,"10 units, 900 sq. ft. each",10,900,"4,000/sq. mi.","$80,000",1.8,1.62,1.98,1.62–1.98,1.11,0.92,1.31,0.92–1.31,34
Fort Worth,TX,Multifamily,"10 units, 900 sq. ft. each",10,900,"4,000/sq. mi.","$80,000",1.72,1.65,1.79,1.65–1.79,0.25,0.22,0.29,0.22–0.29,35
Jacksonville,FL,Multifamily,"10 units, 900 sq. ft. each",10,900,"4,000/sq. mi.","$80,000",1.71,1.57,1.85,1.57–1.85,0.38,0.32,0.43,0.32–0.43,36
Columbus,OH,Multifamily,"10 units, 900 sq. ft. each",10,900,"4,000/sq. mi.","$80,000",1.67,1.59,1.74,1.59–1.74,0.3,0.28,0.32,0.28–0.32,37
Louisville,KY,Multifamily,"10 units, 900 sq. ft. each",10,900,"4,000/sq. mi.","$80,000",1.64,1.48,1.8,1.48–1.8,0.37,0.32,0.43,0.32–0.43,38
Indianapolis,IN,Multifamily,"10 units, 900 sq. ft. each",10,900,"4,000/sq. mi.","$80,000",1.62,1.47,1.76,1.47–1.76,0.52,0.43,0.62,0.43–0.62,39
Grand Rapids,MI,Multifamily,"10 units, 900 sq. ft. each",10,900,"4,000/sq. mi.","$80,000",1.49,1.34,1.65,1.34–1.65,0.28,0.21,0.35,0.21–0.35,40
Reno,NV,Multifamily,"10 units, 900 sq. ft. each",10,900,"4,000/sq. mi.","$80,000",1.45,1.39,1.5,1.39–1.5,0.11,0.09,0.13,0.09–0.13,41
Raleigh,NC,Multifamily,"10 units, 900 sq. ft. each",10,900,"4,000/sq. mi.","$80,000",1.35,1.22,1.48,1.22–1.48,0.24,0.18,0.29,0.18–0.29,42
Miami,FL,Multifamily,"10 units, 1,200 sq. ft. each",10,1200,"4,000/sq. mi.","$80,000",5.36,4.47,6.26,4.47–6.26,1.93,1.39,2.46,1.39–2.46,1
San Francisco,CA,Multifamily,"10 units, 1,200 sq. ft. each",10,1200,"4,000/sq. mi.","$80,000",4.76,4.34,5.18,4.34–5.18,1.62,1.33,1.91,1.33–1.91,2
Oakland,CA,Multifamily,"10 units, 1,200 sq. ft. each",10,1200,"4,000/sq. mi.","$80,000",4.61,4.14,5.07,4.14–5.07,0.94,0.8,1.07,0.8–1.07,3
New York,NY,Multifamily,"10 units, 1,200 sq. ft. each",10,1200,"4,000/sq. mi.","$80,000",4.44,4.26,4.62,4.26–4.62,1.36,1.24,1.48,1.24–1.48,4
Los Angeles,CA,Multifamily,"10 units, 1,200 sq. ft. each",10,1200,"4,000/sq. mi.","$80,000",4.1,3.95,4.25,3.95–4.25,1.5,1.41,1.59,1.41–1.59,5
Boston,MA,Multifamily,"10 units, 1,200 sq. ft. each",10,1200,"4,000/sq. mi.","$80,000",3.53,3.25,3.81,3.25–3.81,1.64,1.43,1.85,1.43–1.85,6
Baton Rouge,LA,Multifamily,"10 units, 1,200 sq. ft. each",10,1200,"4,000/sq. mi.","$80,000",3.38,2.45,4.32,2.45–4.32,0.82,0.56,1.08,0.56–1.08,7
Seattle,WA,Multifamily,"10 units, 1,200 sq. ft. each",10,1200,"4,000/sq. mi.","$80,000",3.12,2.93,3.3,2.93–3.3,0.99,0.91,1.07,0.91–1.07,8
Durham,NC,Multifamily,"10 units, 1,200 sq. ft. each",10,1200,"4,000/sq. mi.","$80,000",2.8,2.5,3.1,2.5–3.1,0.3,0.25,0.35,0.25–0.35,9
Philadelphia,PA,Multifamily,"10 units, 1,200 sq. ft. each",10,1200,"4,000/sq. mi.","$80,000",2.78,2.49,3.07,2.49–3.07,0.29,0.23,0.35,0.23–0.35,10
Houston,TX,Multifamily,"10 units, 1,200 sq. ft. each",10,1200,"4,000/sq. mi.","$80,000",2.76,2.68,2.84,2.68–2.84,0.69,0.64,0.73,0.64–0.73,11
Washington,DC,Multifamily,"10 units, 1,200 sq. ft. each",10,1200,"4,000/sq. mi.","$80,000",2.71,2.36,3.06,2.36–3.06,0.75,0.58,0.92,0.58–0.92,12
Jersey City,NJ,Multifamily,"10 units, 1,200 sq. ft. each",10,1200,"4,000/sq. mi.","$80,000",2.71,2.04,3.37,2.04–3.37,0.3,0.06,0.55,0.06–0.55,13
Sacramento,CA,Multifamily,"10 units, 1,200 sq. ft. each",10,1200,"4,000/sq. mi.","$80,000",2.65,2.4,2.91,2.4–2.91,0.94,0.78,1.1,0.78–1.1,14
Honolulu,HI,Multifamily,"10 units, 1,200 sq. ft. each",10,1200,"4,000/sq. mi.","$80,000",2.55,2.28,2.81,2.28–2.81,1.04,0.91,1.16,0.91–1.16,15
Tulsa,OK,Multifamily,"10 units, 1,200 sq. ft. each",10,1200,"4,000/sq. mi.","$80,000",2.5,2.11,2.88,2.11–2.88,0.87,0.61,1.12,0.61–1.12,16
San Diego,CA,Multifamily,"10 units, 1,200 sq. ft. each",10,1200,"4,000/sq. mi.","$80,000",2.46,2.27,2.65,2.27–2.65,0.72,0.64,0.79,0.64–0.79,17
Austin,TX,Multifamily,"10 units, 1,200 sq. ft. each",10,1200,"4,000/sq. mi.","$80,000",2.45,2.37,2.53,2.37–2.53,0.7,0.66,0.75,0.66–0.75,18
Portland,OR,Multifamily,"10 units, 1,200 sq. ft. each",10,1200,"4,000/sq. mi.","$80,000",2.44,2.3,2.57,2.3–2.57,0.88,0.8,0.95,0.8–0.95,19
Boulder,CO,Multifamily,"10 units, 1,200 sq. ft. each",10,1200,"4,000/sq. mi.","$80,000",2.41,2.16,2.65,2.16–2.65,0.65,0.54,0.77,0.54–0.77,20
Phoenix,AZ,Multifamily,"10 units, 1,200 sq. ft. each",10,1200,"4,000/sq. mi.","$80,000",2.4,2.23,2.57,2.23–2.57,0.81,0.72,0.91,0.72–0.91,21
Spokane,WA,Multifamily,"10 units, 1,200 sq. ft. each",10,1200,"4,000/sq. mi.","$80,000",2.39,1.75,3.04,1.75–3.04,0.28,0.19,0.37,0.19–0.37,22
Denver,CO,Multifamily,"10 units, 1,200 sq. ft. each",10,1200,"4,000/sq. mi.","$80,000",2.29,2.15,2.42,2.15–2.42,0.54,0.47,0.6,0.47–0.6,23
Nashville,TN,Multifamily,"10 units, 1,200 sq. ft. each",10,1200,"4,000/sq. mi.","$80,000",2.27,2.01,2.52,2.01–2.52,0.47,0.35,0.6,0.35–0.6,24
Cincinnati,OH,Multifamily,"10 units, 1,200 sq. ft. each",10,1200,"4,000/sq. mi.","$80,000",2.17,1.72,2.63,1.72–2.63,0.46,0.26,0.67,0.26–0.67,25
Colorado Springs,CO,Multifamily,"10 units, 1,200 sq. ft. each",10,1200,"4,000/sq. mi.","$80,000",2.14,1.99,2.3,1.99–2.3,0.58,0.51,0.66,0.51–0.66,26
Boise,ID,Multifamily,"10 units, 1,200 sq. ft. each",10,1200,"4,000/sq. mi.","$80,000",2.1,1.79,2.4,1.79–2.4,0.63,0.45,0.81,0.45–0.81,27
Cleveland,OH,Multifamily,"10 units, 1,200 sq. ft. each",10,1200,"4,000/sq. mi.","$80,000",2.02,1.73,2.31,1.73–2.31,0.52,0.38,0.66,0.38–0.66,28
Atlanta,GA,Multifamily,"10 units, 1,200 sq. ft. each",10,1200,"4,000/sq. mi.","$80,000",2,1.79,2.21,1.79–2.21,0.93,0.73,1.13,0.73–1.13,29
St. Paul,MN,Multifamily,"10 units, 1,200 sq. ft. each",10,1200,"4,000/sq. mi.","$80,000",1.99,1.09,2.89,1.09–2.89,0.3,0.14,0.45,0.14–0.45,30
Kansas City,MO,Multifamily,"10 units, 1,200 sq. ft. each",10,1200,"4,000/sq. mi.","$80,000",1.96,1.8,2.11,1.8–2.11,0.2,0.15,0.26,0.15–0.26,31
Orlando,FL,Multifamily,"10 units, 1,200 sq. ft. each",10,1200,"4,000/sq. mi.","$80,000",1.95,1.78,2.11,1.78–2.11,0.56,0.48,0.64,0.48–0.64,32
Tampa,FL,Multifamily,"10 units, 1,200 sq. ft. each",10,1200,"4,000/sq. mi.","$80,000",1.86,1.59,2.13,1.59–2.13,0.5,0.41,0.59,0.41–0.59,33
Anaheim,CA,Multifamily,"10 units, 1,200 sq. ft. each",10,1200,"4,000/sq. mi.","$80,000",1.85,1.68,2.03,1.68–2.03,1.11,0.92,1.29,0.92–1.29,34
Sioux Falls,SD,Multifamily,"10 units, 1,200 sq. ft. each",10,1200,"4,000/sq. mi.","$80,000",1.82,1.62,2.02,1.62–2.02,0.26,0.2,0.31,0.2–0.31,35
Fort Worth,TX,Multifamily,"10 units, 1,200 sq. ft. each",10,1200,"4,000/sq. mi.","$80,000",1.77,1.7,1.84,1.7–1.84,0.28,0.24,0.32,0.24–0.32,36
Jacksonville,FL,Multifamily,"10 units, 1,200 sq. ft. each",10,1200,"4,000/sq. mi.","$80,000",1.76,1.62,1.91,1.62–1.91,0.37,0.32,0.43,0.32–0.43,37
Columbus,OH,Multifamily,"10 units, 1,200 sq. ft. each",10,1200,"4,000/sq. mi.","$80,000",1.73,1.67,1.8,1.67–1.8,0.3,0.28,0.32,0.28–0.32,38
Louisville,KY,Multifamily,"10 units, 1,200 sq. ft. each",10,1200,"4,000/sq. mi.","$80,000",1.7,1.54,1.87,1.54–1.87,0.39,0.34,0.45,0.34–0.45,39
Indianapolis,IN,Multifamily,"10 units, 1,200 sq. ft. each",10,1200,"4,000/sq. mi.","$80,000",1.68,1.53,1.83,1.53–1.83,0.54,0.44,0.64,0.44–0.64,40
Grand Rapids,MI,Multifamily,"10 units, 1,200 sq. ft. each",10,1200,"4,000/sq. mi.","$80,000",1.5,1.35,1.65,1.35–1.65,0.29,0.22,0.35,0.22–0.35,41
Reno,NV,Multifamily,"10 units, 1,200 sq. ft. each",10,1200,"4,000/sq. mi.","$80,000",1.5,1.44,1.55,1.44–1.55,0.12,0.09,0.14,0.09–0.14,42
Raleigh,NC,Multifamily,"10 units, 1,200 sq. ft. each",10,1200,"4,000/sq. mi.","$80,000",1.41,1.29,1.52,1.29–1.52,0.26,0.2,0.31,0.2–0.31,43
Miami,FL,Multifamily,"10 units, 1,500 sq. ft. each",10,1500,"4,000/sq. mi.","$80,000",5.36,4.49,6.23,4.49–6.23,1.97,1.43,2.51,1.43–2.51,1
San Francisco,CA,Multifamily,"10 units, 1,500 sq. ft. each",10,1500,"4,000/sq. mi.","$80,000",4.8,4.39,5.21,4.39–5.21,1.64,1.36,1.93,1.36–1.93,2
New York,NY,Multifamily,"10 units, 1,500 sq. ft. each",10,1500,"4,000/sq. mi.","$80,000",4.55,4.35,4.74,4.35–4.74,1.38,1.26,1.5,1.26–1.5,3
Oakland,CA,Multifamily,"10 units, 1,500 sq. ft. each",10,1500,"4,000/sq. mi.","$80,000",4.46,4.1,4.82,4.1–4.82,0.86,0.76,0.95,0.76–0.95,4
Los Angeles,CA,Multifamily,"10 units, 1,500 sq. ft. each",10,1500,"4,000/sq. mi.","$80,000",4.2,4.05,4.35,4.05–4.35,1.49,1.4,1.57,1.4–1.57,5
Boston,MA,Multifamily,"10 units, 1,500 sq. ft. each",10,1500,"4,000/sq. mi.","$80,000",3.51,3.22,3.79,3.22–3.79,1.61,1.4,1.82,1.4–1.82,6
Baton Rouge,LA,Multifamily,"10 units, 1,500 sq. ft. each",10,1500,"4,000/sq. mi.","$80,000",3.5,2.54,4.46,2.54–4.46,0.89,0.6,1.17,0.6–1.17,7
Seattle,WA,Multifamily,"10 units, 1,500 sq. ft. each",10,1500,"4,000/sq. mi.","$80,000",3.14,2.94,3.34,2.94–3.34,0.99,0.91,1.07,0.91–1.07,8
Durham,NC,Multifamily,"10 units, 1,500 sq. ft. each",10,1500,"4,000/sq. mi.","$80,000",2.82,2.51,3.13,2.51–3.13,0.3,0.24,0.35,0.24–0.35,9
Houston,TX,Multifamily,"10 units, 1,500 sq. ft. each",10,1500,"4,000/sq. mi.","$80,000",2.78,2.71,2.86,2.71–2.86,0.69,0.65,0.74,0.65–0.74,10
Philadelphia,PA,Multifamily,"10 units, 1,500 sq. ft. each",10,1500,"4,000/sq. mi.","$80,000",2.78,2.49,3.07,2.49–3.07,0.29,0.23,0.35,0.23–0.35,11
Jersey City,NJ,Multifamily,"10 units, 1,500 sq. ft. each",10,1500,"4,000/sq. mi.","$80,000",2.69,2.04,3.35,2.04–3.35,0.3,0.06,0.55,0.06–0.55,12
Washington,DC,Multifamily,"10 units, 1,500 sq. ft. each",10,1500,"4,000/sq. mi.","$80,000",2.68,2.32,3.04,2.32–3.04,0.74,0.57,0.92,0.57–0.92,13
Honolulu,HI,Multifamily,"10 units, 1,500 sq. ft. each",10,1500,"4,000/sq. mi.","$80,000",2.6,2.32,2.88,2.32–2.88,1.07,0.94,1.2,0.94–1.2,14
Sacramento,CA,Multifamily,"10 units, 1,500 sq. ft. each",10,1500,"4,000/sq. mi.","$80,000",2.6,2.35,2.84,2.35–2.84,0.93,0.78,1.08,0.78–1.08,15
Portland,OR,Multifamily,"10 units, 1,500 sq. ft. each",10,1500,"4,000/sq. mi.","$80,000",2.56,2.38,2.74,2.38–2.74,0.89,0.8,0.99,0.8–0.99,16
Spokane,WA,Multifamily,"10 units, 1,500 sq. ft. each",10,1500,"4,000/sq. mi.","$80,000",2.53,1.8,3.26,1.8–3.26,0.29,0.19,0.38,0.19–0.38,17
Boulder,CO,Multifamily,"10 units, 1,500 sq. ft. each",10,1500,"4,000/sq. mi.","$80,000",2.52,2.29,2.76,2.29–2.76,0.69,0.59,0.8,0.59–0.8,18
Tulsa,OK,Multifamily,"10 units, 1,500 sq. ft. each",10,1500,"4,000/sq. mi.","$80,000",2.52,2.13,2.92,2.13–2.92,0.9,0.63,1.17,0.63–1.17,19
Austin,TX,Multifamily,"10 units, 1,500 sq. ft. each",10,1500,"4,000/sq. mi.","$80,000",2.51,2.42,2.6,2.42–2.6,0.71,0.66,0.76,0.66–0.76,20
San Diego,CA,Multifamily,"10 units, 1,500 sq. ft. each",10,1500,"4,000/sq. mi.","$80,000",2.46,2.27,2.65,2.27–2.65,0.72,0.65,0.8,0.65–0.8,21
Phoenix,AZ,Multifamily,"10 units, 1,500 sq. ft. each",10,1500,"4,000/sq. mi.","$80,000",2.45,2.29,2.61,2.29–2.61,0.8,0.7,0.9,0.7–0.9,22
Nashville,TN,Multifamily,"10 units, 1,500 sq. ft. each",10,1500,"4,000/sq. mi.","$80,000",2.42,2.14,2.7,2.14–2.7,0.51,0.37,0.65,0.37–0.65,23
Colorado Springs,CO,Multifamily,"10 units, 1,500 sq. ft. each",10,1500,"4,000/sq. mi.","$80,000",2.41,2.23,2.59,2.23–2.59,0.69,0.59,0.78,0.59–0.78,24
Denver,CO,Multifamily,"10 units, 1,500 sq. ft. each",10,1500,"4,000/sq. mi.","$80,000",2.27,2.14,2.41,2.14–2.41,0.54,0.47,0.6,0.47–0.6,25
Cincinnati,OH,Multifamily,"10 units, 1,500 sq. ft. each",10,1500,"4,000/sq. mi.","$80,000",2.23,1.87,2.58,1.87–2.58,0.44,0.27,0.6,0.27–0.6,26
Cleveland,OH,Multifamily,"10 units, 1,500 sq. ft. each",10,1500,"4,000/sq. mi.","$80,000",2.12,1.81,2.43,1.81–2.43,0.57,0.41,0.72,0.41–0.72,27
Boise,ID,Multifamily,"10 units, 1,500 sq. ft. each",10,1500,"4,000/sq. mi.","$80,000",2.11,1.8,2.42,1.8–2.42,0.62,0.45,0.8,0.45–0.8,28
Atlanta,GA,Multifamily,"10 units, 1,500 sq. ft. each",10,1500,"4,000/sq. mi.","$80,000",2.06,1.84,2.27,1.84–2.27,0.97,0.75,1.19,0.75–1.19,29
St. Paul,MN,Multifamily,"10 units, 1,500 sq. ft. each",10,1500,"4,000/sq. mi.","$80,000",2.04,1.06,3.03,1.06–3.03,0.31,0.14,0.47,0.14–0.47,30
Orlando,FL,Multifamily,"10 units, 1,500 sq. ft. each",10,1500,"4,000/sq. mi.","$80,000",2.03,1.86,2.2,1.86–2.2,0.61,0.52,0.7,0.52–0.7,31
Kansas City,MO,Multifamily,"10 units, 1,500 sq. ft. each",10,1500,"4,000/sq. mi.","$80,000",2,1.85,2.15,1.85–2.15,0.21,0.15,0.27,0.15–0.27,32
