City,State,Housing type,Units,Sq. ft. per unit,Population density,Neighborhood median income,Total duration (years),Total duration low,Total duration high,Total duration 95% CI,Permitting duration (years),Permitting low,Permitting high,Permitting 95% CI,Rank (longest first)
Orlando,FL,Duplex/triplex,2,1200,"4,000/sq. mi.","$80,000",1.08,0.98,1.19,0.98–1.19,0.21,0.14,0.28,0.14–0.28,39
Oklahoma City,OK,Duplex/triplex,2,1200,"4,000/sq. mi.","$80,000",0.83,0.74,0.91,0.74–0.91,0.06,0.03,0.08,0.03–0.08,40
El Paso,TX,Duplex/triplex,2,1200,"4,000/sq. mi.","$80,000",0.82,0.66,0.97,0.66–0.97,0.15,0.06,0.23,0.06–0.23,41
Wilmington,NC,Duplex/triplex,2,1200,"4,000/sq. mi.","$80,000",0.59,0.56,0.61,0.56–0.61,0,0,0,0–0,42
Miami,FL,Multifamily,20,1200,"4,000/sq. mi.","$80,000",5.02,4.25,5.78,4.25–5.78,1.9,1.39,2.41,1.39–2.41,1
San Francisco,CA,Multifamily,20,1200,"4,000/sq. mi.","$80,000",4.88,4.5,5.26,4.5–5.26,1.46,1.23,1.7,1.23–1.7,2
New York,NY,Multifamily,20,1200,"4,000/sq. mi.","$80,000",4.79,4.6,4.98,4.6–4.98,1.39,1.28,1.51,1.28–1.51,3
Oakland,CA,Multifamily,20,1200,"4,000/sq. mi.","$80,000",4.5,4.19,4.8,4.19–4.8,0.96,0.83,1.09,0.83–1.09,4
Los Angeles,CA,Multifamily,20,1200,"4,000/sq. mi.","$80,000",4.25,4.1,4.4,4.1–4.4,1.53,1.44,1.61,1.44–1.61,5
Baton Rouge,LA,Multifamily,20,1200,"4,000/sq. mi.","$80,000",4,2.92,5.07,2.92–5.07,1.01,0.67,1.35,0.67–1.35,6
Boston,MA,Multifamily,20,1200,"4,000/sq. mi.","$80,000",3.75,3.44,4.06,3.44–4.06,1.67,1.44,1.89,1.44–1.89,7
Seattle,WA,Multifamily,20,1200,"4,000/sq. mi.","$80,000",3.32,3.1,3.53,3.1–3.53,1.03,0.94,1.12,0.94–1.12,8
Honolulu,HI,Multifamily,20,1200,"4,000/sq. mi.","$80,000",3.07,2.79,3.36,2.79–3.36,1.28,1.13,1.43,1.13–1.43,9
Philadelphia,PA,Multifamily,20,1200,"4,000/sq. mi.","$80,000",3,2.7,3.29,2.7–3.29,0.31,0.25,0.37,0.25–0.37,10
Durham,NC,Multifamily,20,1200,"4,000/sq. mi.","$80,000",2.85,2.56,3.13,2.56–3.13,0.34,0.29,0.39,0.29–0.39,11
Sacramento,CA,Multifamily,20,1200,"4,000/sq. mi.","$80,000",2.8,2.57,3.04,2.57–3.04,0.94,0.8,1.08,0.8–1.08,12
Jersey City,NJ,Multifamily,20,1200,"4,000/sq. mi.","$80,000",2.76,2.13,3.39,2.13–3.39,0.31,0.09,0.53,0.09–0.53,13
Houston,TX,Multifamily,20,1200,"4,000/sq. mi.","$80,000",2.73,2.66,2.79,2.66–2.79,0.66,0.62,0.69,0.62–0.69,14
Washington,DC,Multifamily,20,1200,"4,000/sq. mi.","$80,000",2.73,2.39,3.06,2.39–3.06,0.76,0.6,0.92,0.6–0.92,15
Spokane,WA,Multifamily,20,1200,"4,000/sq. mi.","$80,000",2.64,1.88,3.41,1.88–3.41,0.26,0.18,0.34,0.18–0.34,16
Austin,TX,Multifamily,20,1200,"4,000/sq. mi.","$80,000",2.64,2.57,2.7,2.57–2.7,0.77,0.73,0.81,0.73–0.81,17
Tulsa,OK,Multifamily,20,1200,"4,000/sq. mi.","$80,000",2.61,2.21,3.01,2.21–3.01,0.84,0.55,1.13,0.55–1.13,18
San Diego,CA,Multifamily,20,1200,"4,000/sq. mi.","$80,000",2.61,2.43,2.78,2.43–2.78,0.76,0.68,0.83,0.68–0.83,19
Portland,OR,Multifamily,20,1200,"4,000/sq. mi.","$80,000",2.58,2.44,2.71,2.44–2.71,0.9,0.83,0.98,0.83–0.98,20
Boulder,CO,Multifamily,20,1200,"4,000/sq. mi.","$80,000",2.52,2.28,2.77,2.28–2.77,0.69,0.54,0.85,0.54–0.85,21
Nashville,TN,Multifamily,20,1200,"4,000/sq. mi.","$80,000",2.49,2.24,2.74,2.24–2.74,0.58,0.43,0.72,0.43–0.72,22
Denver,CO,Multifamily,20,1200,"4,000/sq. mi.","$80,000",2.44,2.32,2.55,2.32–2.55,0.57,0.52,0.63,0.52–0.63,23
Phoenix,AZ,Multifamily,20,1200,"4,000/sq. mi.","$80,000",2.39,2.24,2.53,2.24–2.53,0.68,0.6,0.76,0.6–0.76,24
